date,price,signal,asset_return,position,strategy_return,trade,ml_equity,bh_equity
2025-01-15 05:00:00,136.19,0,0.0,0,0.0,0,100000.0,100000.0
2025-01-16 05:00:00,133.58,1,-0.019164402672736558,0,-0.0,0,100000.0,98083.55973272634
2025-01-17 05:00:00,137.73,1,0.03106752507860433,1,0.03106752507860433,1,103106.75250786044,101130.77318452162
2025-01-21 05:00:00,140.81,0,0.02236259347999714,1,0.02236259347999714,0,105412.48689923639,103392.31955356487
2025-01-22 05:00:00,147.03,0,0.04417299907677008,0,0.0,-1,105412.48689923639,107959.46838974961
2025-01-23 05:00:00,147.21,0,0.0012242399510304924,0,0.0,0,105412.48689923639,108091.63668404435
2025-01-24 05:00:00,142.605,0,-0.031281842266150495,0,-0.0,0,105412.48689923639,104710.33115500404
2025-01-27 05:00:00,118.51,0,-0.16896322008344722,0,-0.0,0,105412.48689923639,87018.13642705044
2025-01-28 05:00:00,128.81,0,0.08691249683571001,0,0.0,0,105412.48689923639,94581.09993391584
2025-01-29 05:00:00,123.75,0,-0.03928266438941075,0,-0.0,0,105412.48689923639,90865.70232763051
2025-01-30 05:00:00,124.91,0,0.009373737373737256,0,0.0,0,105412.48689923639,91717.45355752991
2025-01-31 05:00:00,120.035,0,-0.039028100232167184,0,-0.0,0,105412.48689923639,88137.8955870475
2025-02-03 05:00:00,116.65,0,-0.02820010830174524,0,-0.0,0,105412.48689923639,85652.39738600484
2025-02-04 05:00:00,118.63,0,0.01697385340762958,0,0.0,0,105412.48689923639,87106.24862324692
2025-02-05 05:00:00,124.955,0,0.05331703616285943,0,0.0,0,105412.48689923639,91750.49563110361
2025-02-06 05:00:00,128.68,0,0.02981073186347083,0,0.0,0,105412.48689923639,94485.64505470298
2025-02-07 05:00:00,129.885,0,0.009364314578800048,0,0.0,0,105412.48689923639,95370.43835817606
2025-02-10 05:00:00,133.5,0,0.02783231320013857,0,0.0,0,105412.48689923639,98024.81826859534
2025-02-11 05:00:00,132.83,0,-0.00501872659176017,0,-0.0,0,105412.48689923639,97532.85850649828
2025-02-12 05:00:00,131.1,0,-0.013024166227509015,0,-0.0,0,105412.48689923639,96262.57434466553
2025-02-13 05:00:00,135.25,0,0.031655225019069366,0,0.0,0,105412.48689923639,99309.78779646082
2025-02-14 05:00:00,138.8,0,0.026247689463955615,0,0.0,0,105412.48689923639,101916.44026727365
2025-02-18 05:00:00,139.38,0,0.00417867435158481,0,0.0,0,105412.48689923639,102342.31588222334
2025-02-19 05:00:00,139.245,0,-0.0009685751183813318,0,-0.0,0,105412.48689923639,102243.1896615023
2025-02-20 05:00:00,140.09,0,0.006068440518510521,0,0.0,0,105412.48689923639,102863.64637638592
2025-02-21 05:00:00,134.33,0,-0.041116425155257263,0,-0.0,0,105412.48689923639,98634.2609589544
2025-02-24 05:00:00,130.325,0,-0.02981463559889841,0,-0.0,0,105412.48689923639,95693.51641089653
2025-02-25 05:00:00,126.52,0,-0.02919624016880873,0,-0.0,0,105412.48689923639,92899.62552316615
2025-02-26 05:00:00,131.525,0,0.039558963009800996,0,0.0,0,105412.48689923639,96574.63837286145
2025-02-27 05:00:00,120.245,0,-0.08576316289678765,0,-0.0,0,105412.48689923639,88292.09193039137
2025-02-28 05:00:00,124.995,0,0.0395026820242006,0,0.0,0,105412.48689923639,91779.8663631691
2025-03-03 05:00:00,114.06,0,-0.08748349933997357,0,-0.0,0,105412.48689923639,83750.64248476394
2025-03-04 05:00:00,115.92,0,0.01630720673329833,0,0.0,0,105412.48689923639,85116.38152580954
2025-03-05 05:00:00,117.345,0,0.012292960662525942,0,0.0,0,105412.48689923639,86162.71385564285
2025-03-06 05:00:00,110.56,0,-0.057820955302739785,0,-0.0,0,105412.48689923639,81180.70342903298
2025-03-07 05:00:00,112.71,0,0.01944645441389281,0,0.0,0,105412.48689923639,82759.38027755341
2025-03-10 04:00:00,107.015,0,-0.05052790346907987,0,-0.0,0,105412.48689923639,78577.72229972832
2025-03-11 04:00:00,108.7,0,0.015745456244451672,0,0.0,0,105412.48689923639,79814.96438798738
2025-03-12 04:00:00,115.705,0,0.0644434222631094,0,0.0,0,105412.48689923639,84958.51384095749
2025-03-13 04:00:00,115.74,0,0.00030249340996491014,0,0.0,0,105412.48689923639,84984.21323151478
2025-03-14 04:00:00,121.54,0,0.05011232071885274,0,0.0,0,105412.48689923639,89242.96938101182
2025-03-17 04:00:00,119.625,0,-0.01575612966924478,0,-0.0,0,105412.48689923639,87836.84558337615
2025-03-18 04:00:00,115.555,0,-0.03402298850574703,0,-0.0,0,105412.48689923639,84848.37359571186
2025-03-19 04:00:00,117.53,0,0.01709142832417454,0,0.0,0,105412.48689923639,86298.55349144577
2025-03-20 04:00:00,118.5,0,0.00825321194588624,0,0.0,0,105412.48689923639,87010.79374403406
2025-03-21 04:00:00,117.68,0,-0.006919831223628603,0,-0.0,0,105412.48689923639,86408.69373669139
2025-03-24 04:00:00,121.24,0,0.030251529571719837,0,0.0,0,105412.48689923639,89022.6888905206
2025-03-25 04:00:00,120.66,0,-0.004783899703068251,0,-0.0,0,105412.48689923639,88596.8132755709
2025-03-26 04:00:00,113.715,0,-0.05755842864246641,0,-0.0,0,105412.48689923639,83497.31992069902
2025-03-27 04:00:00,111.41,0,-0.020269973178560496,0,-0.0,0,105412.48689923639,81804.83148542477
2025-03-28 04:00:00,109.63,0,-0.01597702181132754,0,-0.0,0,105412.48689923639,80497.83390851018
2025-03-31 04:00:00,108.525,1,-0.010079357840007241,0,-0.0,0,105412.48689923639,79686.46743520083
2025-04-01 04:00:00,110.14,1,0.014881363741073406,1,0.014881363741073406,1,106981.16845963505,80872.31074234526
2025-04-02 04:00:00,110.31,0,0.001543490103504741,1,0.001543490103504741,0,107146.29283441388,80997.13635362363
2025-04-03 04:00:00,101.78,0,-0.07732753150213034,0,-0.0,-1,107146.29283441388,74733.82774065646
2025-04-04 04:00:00,94.28,0,-0.07368834741599528,0,-0.0,0,107146.29283441388,69226.81547837581
2025-04-07 04:00:00,97.62,1,0.03542638947815013,0,0.0,0,107146.29283441388,71679.27160584478
2025-04-08 04:00:00,96.41,1,-0.012395001024380292,1,-0.012395001024380292,1,105818.21442497277,70790.80696086351
2025-04-09 04:00:00,114.21,0,0.1846281506067835,1,0.1846281506067835,0,125355.23565476756,83860.78273000955
2025-04-10 04:00:00,107.67,0,-0.05726293669556071,0,-0.0,-1,125355.23565476756,79058.66803730086
2025-04-11 04:00:00,110.765,0,0.02874524008544621,0,0.0,0,125355.23565476756,81331.22843086865
2025-04-14 04:00:00,110.71,0,-0.000496546743104842,0,-0.0,0,125355.23565476756,81290.84367427859
2025-04-15 04:00:00,112.12,0,0.01273597687652428,0,0.0,0,125355.23565476756,82326.16197958736
2025-04-16 04:00:00,104.52,0,-0.06778451658936857,0,-0.0,0,125355.23565476756,76745.72288714297
2025-04-17 04:00:00,101.4,1,-0.02985074626865658,0,-0.0,0,125355.23565476756,74454.80578603424
2025-04-21 04:00:00,96.77,1,-0.045660749506903464,1,-0.045660749506903464,1,119631.42164015636,71055.14354945299
2025-04-22 04:00:00,98.865,1,0.02164927146843021,1,0.02164927146843021,0,122221.35476339835,72593.43564138336
2025-04-23 04:00:00,102.495,1,0.036716734941587115,1,0.036716734941587115,0,126708.92385044774,75258.8295763272
2025-04-24 04:00:00,106.38,1,0.037904288014049436,1,0.037904288014049436,0,131511.73539402537,78111.46192818857
2025-04-25 04:00:00,110.92,0,0.04267719496145905,1,0.04267719496145905,0,137124.287365156,81445.04001762246
2025-04-28 04:00:00,108.72,0,-0.01983411467724494,0,-0.0,-1,137124.287365156,79829.64975402014
2025-04-29 04:00:00,108.91,0,0.0017476085356880056,0,0.0,0,137124.287365156,79969.16073133124
2025-04-30 04:00:00,108.79,0,-0.0011018271967678794,0,-0.0,0,137124.287365156,79881.04853513476
2025-05-01 04:00:00,111.545,0,0.02532401875172341,0,0.0,0,137124.287365156,81903.95770614584
2025-05-02 04:00:00,114.44,0,0.025953650992872834,0,0.0,0,137124.287365156,84029.66443938616
2025-05-05 04:00:00,113.78,0,-0.005767214260747999,0,-0.0,0,137124.287365156,83545.04736030547
2025-05-06 04:00:00,113.455,0,-0.002856389523642089,0,-0.0,0,137124.287365156,83306.41016227331
2025-05-07 04:00:00,117.015,0,0.03137807941474602,0,0.0,0,137124.287365156,85920.40531610254
2025-05-08 04:00:00,117.365,0,0.002991069521001588,0,0.0,0,137124.287365156,86177.39922167563
2025-05-09 04:00:00,116.61,0,-0.006432922932731233,0,-0.0,0,137124.287365156,85623.02665393938
2025-05-12 04:00:00,122.985,0,0.05466941085670185,0,0.0,0,137124.287365156,90303.98707687792
2025-05-13 04:00:00,129.83,0,0.05565719396674407,0,0.0,0,137124.287365156,95330.05360158606
2025-05-14 04:00:00,135.35,0,0.04251713779557864,0,0.0,0,137124.287365156,99383.2146266246
2025-05-15 04:00:00,134.91,0,-0.0032508311784262833,0,-0.0,0,137124.287365156,99060.13657390414
2025-05-16 04:00:00,135.31,0,0.0029649395893558417,0,0.0,0,137124.287365156,99353.8438945591
2025-05-19 04:00:00,135.6,0,0.0021432266646959075,0,0.0,0,137124.287365156,99566.78170203396
2025-05-20 04:00:00,134.41,0,-0.008775811209439488,0,-0.0,0,137124.287365156,98693.00242308543
2025-05-21 04:00:00,131.81,0,-0.01934379882449222,0,-0.0,0,137124.287365156,96783.90483882814
2025-05-22 04:00:00,132.9,0,0.00826947879523554,0,0.0,0,137124.287365156,97584.25728761291
2025-05-23 04:00:00,131.3,0,-0.012039127163280594,0,-0.0,0,137124.287365156,96409.42800499305
2025-05-27 04:00:00,135.495,0,0.031949733434881944,0,0.0,0,137124.287365156,99489.68353036203
2025-05-28 04:00:00,134.83,0,-0.0049079301819254795,0,-0.0,0,137124.287365156,99001.39510977315
2025-05-29 04:00:00,139.18,0,0.032262849514202996,0,0.0,0,137124.287365156,102195.46222189591
2025-05-30 04:00:00,134.89,0,-0.030823394165828577,0,-0.0,0,137124.287365156,99045.45120787136
2025-06-02 04:00:00,137.37,0,0.018385351026762642,0,0.0,0,137124.287365156,100866.43659593217
2025-06-03 04:00:00,141.27,0,0.028390478270364783,0,0.0,0,137124.287365156,103730.08297231812
2025-06-04 04:00:00,141.84,0,0.004034826927160617,0,0.0,0,137124.287365156,104148.61590425143
2025-06-05 04:00:00,140.01,0,-0.012901861252115121,0,-0.0,0,137124.287365156,102804.90491225496
2025-06-06 04:00:00,141.67,0,0.011856295978858622,0,0.0,0,137124.287365156,104023.79029297306
2025-06-09 04:00:00,142.57,0,0.006352791699018923,0,0.0,0,137124.287365156,104684.63176444675
2025-06-10 04:00:00,143.95,0,0.009679455705968953,0,0.0,0,137124.287365156,105697.92202070638
2025-06-11 04:00:00,142.875,0,-0.007467870788468112,0,-0.0,0,137124.287365156,104908.58359644617
2025-06-12 04:00:00,145.0,0,0.014873140857392775,0,0.0,0,137124.287365156,106468.90373742567
2025-06-13 04:00:00,141.98,0,-0.02082758620689662,0,-0.0,0,137124.287365156,104251.41346648066
2025-06-16 04:00:00,144.67,0,0.01894633046908023,0,0.0,0,137124.287365156,106226.59519788533
2025-06-17 04:00:00,144.03,0,-0.00442386120135474,0,-0.0,0,137124.287365156,105756.6634848374
2025-06-18 04:00:00,145.485,0,0.010102062070401985,0,0.0,0,137124.287365156,106825.02386371983
2025-06-20 04:00:00,143.76,0,-0.0118568924631407,0,-0.0,0,137124.287365156,105558.41104339527
2025-06-23 04:00:00,144.16,0,0.0027824151363384786,0,0.0,0,137124.287365156,105852.11836405026
2025-06-24 04:00:00,147.89,0,0.02587402885682577,0,0.0,0,137124.287365156,108590.93912915782
2025-06-25 04:00:00,154.4,0,0.04401920346203281,0,0.0,0,137124.287365156,113371.02577281743
2025-06-26 04:00:00,155.07,0,0.004339378238341851,0,0.0,0,137124.287365156,113862.9855349145
2025-06-27 04:00:00,157.72,0,0.017089056555104287,0,0.0,0,137124.287365156,115808.79653425366
2025-06-30 04:00:00,157.98,0,0.0016484909967029449,0,0.0,0,137124.287365156,115999.70629267939
2025-07-01 04:00:00,153.34,0,-0.02937080643119372,0,-0.0,0,137124.287365156,112592.7013730818
2025-07-02 04:00:00,157.26,0,0.025564105908438606,0,0.0,0,137124.287365156,115471.03311550047
2025-07-03 04:00:00,159.325,0,0.013131120437491983,0,0.0,0,137124.287365156,116987.29715838173
2025-07-07 04:00:00,158.305,0,-0.006402008473246346,0,-0.0,0,137124.287365156,116238.34349071159
2025-07-08 04:00:00,159.99,0,0.010644009980733449,0,0.0,0,137124.287365156,117475.58557897064
2025-07-09 04:00:00,162.83,0,0.01775110944434033,0,0.0,0,137124.287365156,119560.90755562093
2025-07-10 04:00:00,164.09,0,0.007738131793895375,0,0.0,0,137124.287365156,120486.08561568406
2025-07-11 04:00:00,164.89,0,0.004875373270766037,0,0.0,0,137124.287365156,121073.500256994
2025-07-14 04:00:00,164.06,0,-0.005033658802838126,0,-0.0,0,137124.287365156,120464.05756663495
2025-07-15 04:00:00,170.655,0,0.04019870778983292,0,0.0,0,137124.287365156,125306.55701593372
2025-07-16 04:00:00,171.34,0,0.004013946265857937,0,0.0,0,137124.287365156,125809.53080255535
2025-07-17 04:00:00,173.085,0,0.010184428621454522,0,0.0,0,137124.287365156,127090.82898891266
2025-07-18 04:00:00,172.4,0,-0.003957593090100242,0,-0.0,0,137124.287365156,126587.85520229103
2025-07-21 04:00:00,171.475,0,-0.005365429234338803,0,-0.0,0,137124.287365156,125908.6570232764
2025-07-22 04:00:00,167.01,0,-0.026038781163434943,0,-0.0,0,137124.287365156,122630.14905646532
2025-07-23 04:00:00,170.84,0,0.022932758517454133,0,0.0,0,137124.287365156,125442.39665173665
2025-07-24 04:00:00,173.77,0,0.017150550222430283,0,0.0,0,137124.287365156,127593.80277553428
2025-07-25 04:00:00,173.5,0,-0.0015537779823905362,0,-0.0,0,137124.287365156,127395.55033409216
2025-07-28 04:00:00,176.695,0,0.018414985590778032,0,0.0,0,137124.287365156,129741.5375578237
2025-07-29 04:00:00,175.5,0,-0.00676306630068757,0,-0.0,0,137124.287365156,128864.086937367
2025-07-30 04:00:00,179.315,0,0.021737891737891646,0,0.0,0,137124.287365156,131665.3205081137
2025-07-31 04:00:00,178.06,0,-0.006998856760449423,0,-0.0,0,137124.287365156,130743.81378955877
2025-08-01 04:00:00,173.755,0,-0.024177243625744138,0,-0.0,0,137124.287365156,127582.78875100968
2025-08-04 04:00:00,179.98,0,0.03582630715662849,0,0.0,0,137124.287365156,132153.6089287026
2025-08-05 04:00:00,178.265,0,-0.009528836537393115,0,-0.0,0,137124.287365156,130894.33879139443
2025-08-06 04:00:00,179.43,0,0.006535214427958458,0,0.0,0,137124.287365156,131749.76136280203
2025-08-07 04:00:00,180.85,0,0.00791394972969961,0,0.0,0,137124.287365156,132792.42235112717
2025-08-08 04:00:00,182.755,0,0.010533591374066953,0,0.0,0,137124.287365156,134191.20346574645
2025-08-11 04:00:00,181.99,0,-0.004185931985444924,0,-0.0,0,137124.287365156,133629.48821499382
2025-08-12 04:00:00,183.17,0,0.006483872740260299,0,0.0,0,137124.287365156,134495.92481092596
2025-08-13 04:00:00,181.55,0,-0.008844243052901546,0,-0.0,0,137124.287365156,133306.41016227336
2025-08-14 04:00:00,182.025,0,0.0026163591297163613,0,0.0,0,137124.287365156,133655.18760555112
2025-08-15 04:00:00,180.42,0,-0.00881747012772982,0,-0.0,0,137124.287365156,132476.68698142306
2025-08-18 04:00:00,182.005,0,0.00878505708901467,0,0.0,0,137124.287365156,133640.5022395184
2025-08-19 04:00:00,175.66,0,-0.03486167962418618,0,-0.0,0,137124.287365156,128981.56986562895
2025-08-20 04:00:00,175.41,0,-0.0014232039166571786,0,-0.0,0,137124.287365156,128798.00279021957
2025-08-21 04:00:00,174.96,0,-0.002565418163160582,0,-0.0,0,137124.287365156,128467.58205448274
2025-08-22 04:00:00,177.98,0,0.017261088248742507,0,0.0,0,137124.287365156,130685.07232542774
2025-08-25 04:00:00,179.79,0,0.010169681986740065,0,0.0,0,137124.287365156,132014.09795139148
2025-08-26 04:00:00,181.7,0,0.010623505200511696,0,0.0,0,137124.287365156,133416.55040751895
2025-08-27 04:00:00,181.57,0,-0.0007154650522839257,0,-0.0,0,137124.287365156,133321.0955283061
