strategy,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct
Mean Reversion,2022-09-23 04:00:00,2022-10-25 04:00:00,367.95,384.92,271.77605652941975,4612.03967930426,0.0461203967930426
Mean Reversion,2023-10-27 04:00:00,2023-11-20 05:00:00,410.68,454.26,254.72883919183855,11101.08281198032,0.10611668452322971
Mean Reversion,2025-03-11 04:00:00,2025-06-26 04:00:00,555.92,611.87,208.14707600245464,11645.828902337336,0.10064397755072672
Mean Reversion,2026-03-20 04:00:00,2026-04-14 04:00:00,648.57,694.46,196.36885978941658,9011.366975736339,0.07075566245740639
