Strategy,Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Win Rate,Trades Executed
Buy & Hold,0.6729149870106603,0.12986797302610764,0.17400643625421633,0.7886555770734239,1.07471932253262,-0.20547273659112686,,0.0
Trend Following,0.11667840812704866,0.026532666095477664,0.05640534810317934,0.4926403884265527,0.27605878449871774,-0.11629771229346053,0.391304347826087,23.0
Mean Reversion,0.36370318369358245,0.07638446978244562,0.09521679668726094,0.8201033023817593,0.4010278221091886,-0.1372467243596427,1.0,4.0
Custom Strategy,0.24032218847490072,0.052433418923537145,0.08970384862890157,0.6147165394854851,0.5862401048016795,-0.11596102514952766,0.41935483870967744,31.0
