date,open,high,low,close,volume,trade_count,vwap,sma_20,sma_50,sma_200,ema_12,ema_20,ema_26,macd,macd_signal,macd_hist,rsi_14,stoch_k,stoch_d,williams_r,bb_mid,bb_upper,bb_lower,atr_14,atr_pct,obv,cmf_20,plus_di,minus_di,adx_14,signal,entry_flag,exit_flag,cash,shares,position,action,portfolio_value,daily_returns,drawdown
2022-04-06 04:00:00,446.89,448.93,443.47,446.52,107084639.0,903941.0,446.030103,444.29799999999994,440.98839999999996,447.8975,450.03267915370077,447.0465507514998,445.709869425345,4.3228097283557645,3.9413451257492036,0.3814646026065609,50.76803505005297,37.42454728370208,61.68578048019608,-62.57545271629792,444.29799999999994,470.30489026109433,418.29110973890556,7.388942438578848,0.01654784206436184,-481235673.0,0.320240818292348,24.499690975357968,26.785657727298858,18.994301724761396,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-07 04:00:00,445.59,450.69,443.53,448.77,78235837.0,632865.0,447.052123,445.4625,441.2962,448.02835,449.8384208223622,447.2106887751665,445.93654576420835,3.9018750581538484,3.9334511122301326,-0.031576054076284166,52.48013901505132,37.821411874707714,45.67293744800176,-62.178588125292286,445.4625,469.9636818189713,420.9613181810287,7.372589407251789,0.01642843640896626,-402999836.0,0.30745388482920694,24.505331682192775,24.927565555127618,17.69857700343394,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-08 04:00:00,447.97,450.63,445.94,447.57,79354344.0,574193.0,448.257651,446.8375,441.6228,448.1407,449.4894330035372,447.2449088918173,446.057542374267,3.4318906292702422,3.833139015638155,-0.4012483863679126,51.452425130344714,22.04301075268803,32.42965663703261,-77.95698924731197,446.8375,468.22767273127204,425.4473272687279,7.180975878162376,0.016044363737878715,-482354180.0,0.3435675920490338,23.362132449550966,23.76466867277453,16.49540404791558,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-11 04:00:00,444.11,445.0,439.39,439.92,92393812.0,781088.0,441.823635,447.9835,441.5822,448.20725,448.01721254145457,446.54729852116805,445.6029096058027,2.414302935651847,3.5493717996408933,-1.1350688639890465,45.3547423927297,2.3368606701941332,20.733761099196624,-97.66313932980587,447.9835,464.5562846340404,431.41071536595956,7.25233474400792,0.01648557634117094,-574747992.0,0.3411574008013423,21.47995784959865,28.30118815743596,16.29590642148641,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-12 04:00:00,443.08,445.75,436.6501,438.29,85677975.0,696837.0,440.870431,448.58950000000004,441.34979999999996,448.26135,446.5207183043077,445.7608891381997,445.0612125979655,1.4595057063422132,3.1313985809811573,-1.671892874638944,44.154026816338835,6.451244890813939,10.277038771232034,-93.54875510918606,448.58950000000004,462.47180297138937,434.7071970286107,7.384303690864497,0.016847985787639456,-660425967.0,0.2636951955719925,19.589215030984402,28.460328976113086,16.450658182595348,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-13 04:00:00,438.03,444.11,437.84,443.31,75731466.0,567448.0,441.569456,448.974,441.15700000000004,448.3394,446.0267616421065,445.5274711250378,444.93149314626436,1.0952684958421628,2.7241725639533585,-1.6289040681111957,48.661769638596574,26.199552319245935,11.662552626751335,-73.80044768075406,448.974,461.7235756792126,436.22442432078736,7.3047105700884645,0.016477658004756184,-584694501.0,0.22360966937992013,18.388185942916827,26.715405409639448,16.594356246482217,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-14 04:00:00,443.55,444.7301,437.68,437.79,100061421.0,705567.0,440.320292,448.80999999999995,440.7658,448.38805,444.7595675433209,444.79056911312944,444.40249365394845,0.3570738893724297,2.250752829037173,-1.8936789396647433,44.41626476019736,4.4842819995358445,12.378359736531905,-95.51571800046416,448.80999999999995,462.06213944991407,435.5578605500858,7.286524100796431,0.016643879715837345,-684755922.0,0.10657033988335045,17.72523463346004,24.869078477179173,16.60703261768853,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-18 04:00:00,436.81,439.75,435.61,437.97,67080101.0,575889.0,437.771408,448.48249999999996,440.5932,448.42575,443.7150186905023,444.1409911023552,443.92601264254483,-0.2109939520425428,1.7584034728212299,-1.9693974248637727,44.5860417112396,8.919123204837549,13.20098584120644,-91.08087679516244,448.48249999999996,462.4836095424978,434.48139045750213,7.061772379310971,0.016123872364113914,-617675821.0,0.056604531787239856,16.98298398911639,25.921444952376692,16.908917611058044,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-19 04:00:00,437.86,445.8,437.68,445.04,79209141.0,599076.0,443.359495,448.515,440.52,448.48235,443.9188619688865,444.226610997369,444.0085302245786,-0.08966825569206094,1.3887891271185717,-1.4784573828106327,50.92635749499391,36.857533711158936,16.753646305177444,-63.142466288841064,448.515,462.479079482352,434.55092051764797,7.137360066503044,0.016037569806091685,-538466680.0,0.08052288583467193,21.657563201839945,23.815002523762523,16.04002960855928,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
2022-04-20 04:00:00,446.92,447.57,443.48,444.71,66224261.0,595915.0,445.630069,448.271,440.46899999999994,448.54125,444.04057551213475,444.2726480452386,444.0604909486839,-0.019915436549126753,1.107048214385032,-1.1269636509341587,50.635136347688906,39.30885529157656,28.361837402524348,-60.69114470842344,448.271,462.32623225294344,434.2157677470566,6.9196914903242535,0.01556000874800264,-604690941.0,0.037982210464094605,22.570285215408152,22.80955554828902,14.931974728515845,-1,False,True,100000.0,0.0,0,HOLD,100000.0,0.0,0.0
