date,close,portfolio_value,daily_returns,drawdown
2022-04-06 04:00:00,446.52,100000.0,0.0,0.0
2022-04-07 04:00:00,448.77,100503.89680193497,0.0050389680193496655,0.0
2022-04-08 04:00:00,447.57,100235.151840903,-0.0026739755331237625,-0.0026739755331237625
2022-04-11 04:00:00,439.92,98521.90271432413,-0.01709229841142157,-0.01972056955678847
2022-04-12 04:00:00,438.29,98156.85747558901,-0.0037052191307510585,-0.02335271965594843
2022-04-13 04:00:00,443.31,99281.10722923947,0.011453603778320387,-0.012166588675713519
2022-04-14 04:00:00,437.79,98044.88040849236,-0.012451783176558151,-0.024466876128083292
2022-04-18 04:00:00,437.97,98085.19215264716,0.0004111560337147768,-0.02406577979811475
2022-04-19 04:00:00,445.04,99668.54788139391,0.016142658172934254,-0.008311607282126543
2022-04-20 04:00:00,444.71,99594.6430171101,-0.0007415063814490974,-0.009046950553735833
2022-04-21 04:00:00,438.06,98105.34802472455,-0.014953565244766098,-0.02386523163313048
2022-04-22 04:00:00,426.04,95413.41933172088,-0.027439163584896953,-0.050649553223254484
2022-04-25 04:00:00,428.51,95966.58604317837,0.005797577692235434,-0.04514562025090807
2022-04-26 04:00:00,416.1,93187.3152378393,-0.028960817717206155,-0.0727989838892974
2022-04-27 04:00:00,417.27,93449.34157484547,0.0028118240807497585,-0.07019185774450165
2022-04-28 04:00:00,427.81,95809.81814924304,0.02525942435353623,-0.04670543931189697
2022-04-29 04:00:00,412.0,92269.10328764669,-0.03695565788551003,-0.08193506696080399
2022-05-02 04:00:00,414.48,92824.50954044613,0.006019417475728206,-0.0764088508590145
2022-05-03 04:00:00,416.38,93250.02239541343,0.004584057131827857,-0.07217505626490184
2022-05-04 04:00:00,429.06,96089.7608169847,0.030452951630721925,-0.043920048131559586
2022-05-05 04:00:00,413.81,92674.4602705366,-0.035542814524775146,-0.07790182053167549
2022-05-06 04:00:00,411.34,92121.2935590791,-0.00596892293564677,-0.08340575350402213
2022-05-09 04:00:00,398.17,89171.81761175313,-0.032017309281859196,-0.1127526349800565
2022-05-10 04:00:00,399.09,89377.85541521097,0.002310570861692174,-0.1107025870713283
2022-05-11 04:00:00,392.75,87957.98620442534,-0.015886140970708396,-0.12483009113799948
2022-05-12 04:00:00,392.34,87866.16500940608,-0.0010439210693825585,-0.12574369944515007
2022-05-13 04:00:00,401.72,89966.8547881394,0.023907835041035996,-0.10484212402789839
2022-05-16 04:00:00,400.09,89601.80954940428,-0.004057552524146413,-0.10847427412705846
2022-05-17 04:00:00,408.32,91444.9520738153,0.02057037166637521,-0.09013525859571714
2022-05-18 04:00:00,391.86,87758.6670249933,-0.04031152037617547,-0.12681328965839955
2022-05-19 04:00:00,389.46,87221.17710292933,-0.006124636349716717,-0.1321612407246473
2022-05-20 04:00:00,389.63,87259.2493057422,0.00043650182303700547,-0.1317824275241214
2022-05-23 04:00:00,396.92,88891.87494401148,0.018710058260400952,-0.11553802616039388
2022-05-24 04:00:00,393.89,88213.29391740572,-0.007633780106822585,-0.12228981438153175
2022-05-25 04:00:00,397.37,88992.65430439847,0.008834953921145416,-0.11453528533547241
2022-05-26 04:00:00,405.31,90770.85012989341,0.019981377557440227,-0.09684248055796951
2022-05-27 04:00:00,415.26,92999.19376511691,0.024549110557350984,-0.07467076676248408
2022-05-31 04:00:00,412.93,92477.38063244648,-0.0056109425420218795,-0.07986273592263293
2022-06-01 04:00:00,409.59,91729.3738242408,-0.008088538008863555,-0.08730530115649449
2022-06-02 04:00:00,417.34,93465.018364239,0.018921360384774877,-0.07003587583840276
2022-06-03 04:00:00,410.54,91942.13025172446,-0.016293669430200608,-0.08518840385943793
2022-06-06 04:00:00,411.79,92222.07291946611,0.0030447703025284767,-0.08240301267910055
2022-06-07 04:00:00,415.74,93106.69174952971,0.00959226790354295,-0.07360117654923448
2022-06-08 04:00:00,411.22,92094.41906297591,-0.010872179727714482,-0.08367315105733453
2022-06-09 04:00:00,401.44,89904.14763056526,-0.023782889937259966,-0.10546605165229406
2022-06-10 04:00:00,389.8,87297.32150855506,-0.02899561578318044,-0.13140361432359549
2022-06-13 04:00:00,375.0,83982.80032249396,-0.037968188814776926,-0.16438264589879004
2022-06-14 04:00:00,373.87,83729.73215085552,-0.0030133333333333123,-0.1669006395258149
2022-06-15 04:00:00,379.2,84923.40768610589,0.014256292294112738,-0.15502373153285653
2022-06-16 04:00:00,366.65,82112.78330197975,-0.03309599156118148,-0.18298905898344364
2022-06-17 04:00:00,365.86,81935.85953596704,-0.0021546433928814057,-0.1847494262094168
2022-06-21 04:00:00,375.07,83998.47711188749,0.02517356365822998,-0.16422666399269115
2022-06-22 04:00:00,374.39,83846.18830063603,-0.0018129949076173268,-0.16574191679479477
2022-06-23 04:00:00,378.06,84668.09997312551,0.009802612249258935,-0.15756400828932415
2022-06-24 04:00:00,390.08,87360.02866612918,0.03179389514891806,-0.13077968669920015
2022-06-27 04:00:00,388.59,87026.33700618114,-0.003819729286300144,-0.1340998729861621
2022-06-28 04:00:00,380.65,85248.1411806862,-0.0204328469595203,-0.15179267776366512
2022-06-29 04:00:00,380.34,85178.71539908627,-0.0008143964271640769,-0.1524834547763888
2022-06-30 04:00:00,377.25,84486.69712442893,-0.00812430982804846,-0.1593689417741827
2022-07-01 04:00:00,381.24,85380.27411986026,0.010576540755467212,-0.15047797312654587
2022-07-05 04:00:00,381.96,85541.52109647944,0.0018885741265344258,-0.1488735878066717
2022-07-06 04:00:00,383.25,85830.42192958883,0.0033773169965443106,-0.14599906410856334
2022-07-07 04:00:00,388.99,87115.91865985848,0.014977168949771746,-0.13320854780845415
2022-07-08 04:00:00,388.67,87044.2533369166,-0.0008226432556107666,-0.13392160795062058
2022-07-11 04:00:00,384.23,86049.89698109828,-0.011423572696632078,-0.14381531742317888
2022-07-12 04:00:00,380.83,85288.452924841,-0.008848866564297508,-0.15139158143369658
2022-07-13 04:00:00,378.83,84840.54465645437,-0.0052516871044822055,-0.15584820732223625
2022-07-14 04:00:00,377.91,84634.50685299652,-0.002428529947469782,-0.15789825523096457
2022-07-15 04:00:00,385.13,86251.45570187227,0.019105077928607272,-0.14180983577333595
2022-07-18 04:00:00,381.95,85539.28155513751,-0.0082569521979593,-0.14889587093611434
2022-07-19 04:00:00,392.27,87850.48822001254,0.02701924335646022,-0.12589968135124896
2022-07-20 04:00:00,394.77,88410.37355549584,0.006373161342952516,-0.1203288989905742
2022-07-21 04:00:00,398.79,89310.66917495299,0.010183144615852457,-0.11137108095460913
2022-07-22 04:00:00,395.09,88482.0388784377,-0.00927806615010418,-0.11961583884840787
2022-07-25 04:00:00,395.57,88589.5368628505,0.001214913057784317,-0.11854624863515828
2022-07-26 04:00:00,390.89,87541.43151482577,-0.011831028642212416,-0.12897475321434138
2022-07-27 04:00:00,401.04,89814.56597688794,0.025966384404819687,-0.10635737683000202
2022-07-28 04:00:00,406.04,90934.33664785454,0.012467584280869914,-0.09521581210865249
2022-07-29 04:00:00,411.99,92266.86374630476,0.014653728696679913,-0.08195735009024663
2022-08-01 04:00:00,410.77,91993.63970258892,-0.0029612369232262514,-0.084675891882256
2022-08-02 04:00:00,408.06,91386.72399892502,-0.006597365922535792,-0.09071461996122743
2022-08-03 04:00:00,414.45,92817.79091642033,0.01565946184384659,-0.07647570024734263
2022-08-04 04:00:00,414.17,92755.0837588462,-0.0006755941609362104,-0.07709962787173819
2022-08-05 04:00:00,413.47,92598.31586491088,-0.0016901272424366676,-0.0786594469327272
2022-08-08 04:00:00,412.99,92490.81788049809,-0.0011609064744722009,-0.07972903714597668
2022-08-09 04:00:00,411.35,92123.53310042105,-0.003971040461028141,-0.08338347037457938
2022-08-10 04:00:00,419.99,94058.49681985131,0.02100401118269124,-0.06413084653608747
2022-08-11 04:00:00,419.99,94058.49681985131,0.0,-0.06413084653608747
2022-08-12 04:00:00,427.1,95650.8107139658,0.01692897449939279,-0.0482875415023285
2022-08-15 04:00:00,428.86,96044.96999014603,0.004120814797471173,-0.04436571072041351
2022-08-16 04:00:00,429.7,96233.09146286841,0.0019586811546892235,-0.04249392784722683
2022-08-17 04:00:00,426.65,95550.03135357879,-0.007097975331626816,-0.04929028232725008
2022-08-18 04:00:00,427.89,95827.7344799785,0.0029063635298254287,-0.04652717427635533
2022-08-19 04:00:00,422.14,94539.99820836693,-0.013438033139358208,-0.05933997370590727
2022-08-22 04:00:00,413.35,92571.44136880769,-0.020822475955843855,-0.07892684448603948
2022-08-23 04:00:00,412.35,92347.48723461437,-0.0024192572880126217,-0.08115515743030943
2022-08-24 04:00:00,413.67,92643.10669174955,0.0032011640596580904,-0.07821378434387316
2022-08-25 04:00:00,419.51,93950.99883543851,0.014117533299489837,-0.06520043674933707
2022-08-26 04:00:00,405.31,90770.85012989341,-0.03384901432623766,-0.09684248055796951
2022-08-29 04:00:00,402.63,90170.65305025532,-0.006612222743085594,-0.10281435924861282
2022-08-30 04:00:00,398.21,89180.77577712086,-0.01097782082805554,-0.11266350246228574
2022-08-31 04:00:00,395.18,88502.1947505151,-0.007609050500991921,-0.11941529068342349
2022-09-01 04:00:00,396.42,88779.89787691482,0.0031378106179462684,-0.11665218263252886
2022-09-02 04:00:00,392.24,87843.76959598676,-0.01054437213056858,-0.12596653073957698
2022-09-06 04:00:00,390.76,87512.31747738064,-0.0037732000815827726,-0.12926443389709652
2022-09-07 04:00:00,397.78,89084.47549941772,0.01796499129900697,-0.11362167702832193
2022-09-08 04:00:00,400.38,89666.75624832035,0.006536276333651836,-0.10782806337322015
2022-09-09 04:00:00,406.6,91059.75096300279,0.015535241520555632,-0.09396795685986126
2022-09-12 04:00:00,410.97,92038.43052942758,0.010747663551401887,-0.08423022929340196
2022-09-13 04:00:00,393.1,88036.37015139301,-0.04348249263936532,-0.1240501816075048
